dict,L_id,headword,headword_slp1,root,root_slp1,karaka,karaka_sense,affix,affix_slp1,context,audit_status,auditor_notes
AP,12971,koṇaḥ,koRaH,kuṇ,kuR,kartari,agent (kartari),ac,ac,{#koRaH#}¦ [{#kuR-karaRe GaY karttari ac vA#},,
AP,13910,galaḥ,galaH,gal,gal,karaRe,instrument (karaṇe),ac,ac,{#galaH#}¦ [{#gal-BakzaRe bA˚ karaRe ac#}] ∙,,
AP,14884,cālanam,cAlanam,cal,cal,BAve,action / abstract (bhāve),lyuṭ,lyuw,{#cAlanam#}¦ [{#cal-Ric BAve lyuw#}] ∙,,
AP,14932,cit,cit,cit,cit,BAve,action / abstract (bhāve),kvip,kvip,it#}¦ {%<lex>f.</lex>%} [{#cit-saMpadA˚ BAve kvip#}] ∙,,
AP,15667,jīvanīya,jIvanIya,jīv,jIv,karaRe,instrument (karaṇe),anīyar,anIyar,IvanIya#}¦ {%<lex>a.</lex>%} [{#jIv-bA˚ karaRe anIyar#}] ∙,,
AP,16377,tāra,tAra,tṝ,tF,BAve,action / abstract (bhāve),ac,ac,{#tAra#}¦ {%<lex>a.</lex>%} [{#tF-Ric BAve ac#}] ∙,,
AP,16425,tikta,tikta,tij,tij,kartari,agent (kartari),kta,kta,{#tikta#}¦ {%<lex>a.</lex>%} [{#tij-bA˚ kartari kta#}] ∙,,
AP,16844,trāsana,trAsana,tras,tras,BAve,action / abstract (bhāve),lyuṭ,lyuw,rAsana#}¦ {%<lex>a.</lex>%} [{#tras-Ric BAve lyuw#}] T,,
AP,16951,daṃśaḥ,daMSaH,daṃś,daMS,BAve,action / abstract (bhāve),ghañ,GaY,{#daMSaH#}¦ [{#daMS-ac BAve GaY vA#},,
AP,18248,nagna,nagna,naj,naj,kartari,agent (kartari),kta,kta,{#nagna#}¦ {%<lex>a.</lex>%} [{#naj-na-kartari kta tasy,,
AP,19937,para,para,pṝ,pF,kartari,agent (kartari),ac,ac,"ara#}¦ {%<lex>a.</lex>%} [{#pF-BAve-ap, kartari ac-vA#}",,
AP,21690,pūtiḥ,pUtiH,pū,pU,BAve,action / abstract (bhāve),ktin,ktin,tiH#}@}¦ {%<lex>f.</lex>%} [{#pU-pUy vA BAve ktin#}] ∙,,
AP,243,agnidamanī,agnidamanI,dam,dam,karaRe,instrument (karaṇe),lyuṭ,lyuw,nI#}¦ [{#agnirdamyate'nayA#}; {#dam-Ric karaRe lyuw#}] a,,
AP,305,aṅgahāraḥ,aNgahAraH,hṛ,hf,BAve,action / abstract (bhāve),ghañ,GaY,"tastataH cAlyate yatra, hf-ADAre#} or {#BAve GaY#}] g",,
AP,305,aṅgalepaḥ,aNgalepaH,lip,lip,BAve,action / abstract (bhāve),ghañ,GaY,e GaY#}] ∙²1 a scented cosmetic. ∙²2 [{#BAve GaY#}] a,,
AP,305,aṅgamardaḥ,aNgamardaH,mṛd,mfd,BAve,action / abstract (bhāve),ghañ,GaY,who shampoos his masterʼs body. ∙²2 [{#BAve GaY#}] a,,
AP,305,aṅgasaṃskāraḥ,aNgasaMskAraH,kṛ,kf,BAve,action / abstract (bhāve),ghañ,GaY,saMskriyate anena#}; {#kf-karaRe#} or {#BAve GaY#}] ∙,,
AP,325,aṅgāritaḥ,aNgAritaH,aṅgāra,aNgAra,kartari,agent (kartari),kta,kta,gAramiva Acarati#}; {#aNgAra-kvip tataH kartari kta#}] A,,
AP,3371,abhighāraḥ,aBiGAraH,ghṛ,Gf,BAve,action / abstract (bhāve),ghañ,GaY,{#aBiGAraH#}¦ [{#Gf-Ric-BAve GaY#}] ∙,,
AP90,11558,koṇaḥ,koRaH,kuṇ,kuR,kartari,agent (kartari),ac,ac,{#koRaH#}¦ [{#kuR-karaRe GaY karttari ac vA#},,
AP90,12391,galaḥ,galaH,gal,gal,karaRe,instrument (karaṇe),ac,ac,{#galaH#}¦ [{#gal-BakzaRe bA˚karaRe ac#}] {,,
AP90,13277,cālanaṃ,cAlanaM,cal,cal,BAve,action / abstract (bhāve),lyuṭ,lyuw,{#cAlanaM#}¦ [{#cal-Ric BAve lyuw#}] {,,
AP90,13322,cit,cit,cit,cit,BAve,action / abstract (bhāve),kvip,kvip,#cit#}¦ {%<ab>f.</ab>%} [{#cit-saMpadA˚ BAve kvip#}] {,,
AP90,14413,tāpana,tApana,tap,tap,BAve,action / abstract (bhāve),lyuṭ,lyuw,{#tApana#}¦ {%<ab>a.</ab>%} [{#tap-Ric BAve lyuw#}] {,,
AP90,14598,tāra,tAra,tṝ,tF,BAve,action / abstract (bhāve),ac,ac,{#tAra#}¦ {%<ab>a.</ab>%} [{#tF-Ric BAve ac#}] {,,
AP90,14642,tikta,tikta,tij,tij,kartari,agent (kartari),kta,kta,{#tikta#}¦ {%<ab>a.</ab>%} [{#tij-bA˚kartari kta#}] {,,
AP90,15116,daṃśaḥ,daMSaH,daṃś,daMS,BAve,action / abstract (bhāve),ghañ,GaY,{#daMSaH#}¦ [{#daMS-ac BAve GaY vA#},,
AP90,16277,nagna,nagna,naj,naj,kartari,agent (kartari),kta,kta,{#nagna#}¦ {%<ab>a.</ab>%} [{#naj-na-kartari kta tasy,,
AP90,17765,para,para,pṝ,pF,kartari,agent (kartari),ac,ac,"#para#}¦ {%<ab>a.</ab>%} [{#pF-BAve ap, kartari ac-vA#}",,
AP90,19234,pūti,pUti,pū,pU,BAve,action / abstract (bhāve),ktin,ktin,{#--tiH#} {%<ab>f.</ab>%} [{#pU-pUz vA BAve ktin#}] {,,
AP90,213,agniḥ,agniH,dam,dam,karaRe,instrument (karaṇe),lyuṭ,lyuw,damanI#} [{#agnirdamyate 'nayA; dam-Ric karaRe lyuw#}] a,,
AP90,24260,rūpaṃ,rUpaM,rūp,rUp,BAve,action / abstract (bhāve),ac,ac,{#rUpaM#}¦ [{#rUp-ka BAve ac vA#},,
AP90,2601,apasmāraḥ,apasmAraH,smṛ,smf,kartari,agent (kartari),ac,ac,"ayati#} {#smaraRaM vilopayati, smf-Ric, kartari ac#}, o",,
AP90,271,aṃgaṃ,aMgaM,hṛ,hf,BAve,action / abstract (bhāve),ghañ,GaY,"tastataH cAlyate yatra, hf-ADAre#} or {#BAve GaY#}] g",,
AP90,3050,abhighāraḥ,aBiGAraH,ghṛ,Gf,BAve,action / abstract (bhāve),ghañ,GaY,{#aBiGAraH#}¦ [{#Gf-Ric-BAve GaY#}] {,,
SHS,13963,godhūmasambhava,goDUmasamBava,bhū,BU,apAdAne,source (apādāne),ap,ap,d {#samBava#} produced. {#sam + BU-#} {#apAdAne ap goDU,,
SHS,16078,jalāvartta,jalAvartta,vṛt,vft,BAve,action / abstract (bhāve),ac,ac,vartta#} turn- ing round. {#A + vft-Ric BAve ac uta0,,
SHS,17477,tiraskāra,tiraskAra,kṛ,kf,kartari,agent (kartari),aṇ,aR,a#} making. {#tiras + kf-BAve GaY .#} {#karttari aR avaj,,
SHS,17479,tiraskriyā,tiraskriyA,kṛ,kf,BAve,action / abstract (bhāve),śa,Sa,and {#kriyA#} action. {#tiras + kf-#} {#BAve Sa .#},,
SHS,18903,dāhaharaṇa,dAhaharaRa,hṛ,hf,kartari,agent (kartari),lyu,lyu,#dAho hriyate anena hf-lyuw#} and {#Ric karttari lyu vA .,,
SHS,19461,dūśya,dUSya,dū,dU,BAve,action / abstract (bhāve),kvip,kvip,"A tent. see {#dUzya . dU-Kede sampadA, BAve kvip tAM",,
SHS,20950,nagna,nagna,as,as,kartari,agent (kartari),kta,kta,"an. E. {#naj#} to be as- hamed, affix {#karttari kta#}.",,
SHS,24509,pāyanā,pAyanA,pā,pA,BAve,action / abstract (bhāve),yuc,yuc,"sharpening, (as a weapon). E. {#pA-Ric BAve yuc#}.",,
SHS,25445,puṣka,puzka,puṣa,puza,BAve,action / abstract (bhāve),ka,ka,". ({#-zkaM#}) To cherish, E. {#puza-bA0 BAve ka kicc",,
SKD,18297,nandiḥ,nandiH,sarvva,sarvva,BAve,action / abstract (bhāve),in,in,” uRAM 4 . 117 . iti in .) dyUtANgam . (BAve in .) A,,
SKD,19780,paṅkaḥ,paNkaH,hala,hala,karaRe,instrument (karaṇe),ghañ,GaY,vAt num . “hala- Sceti” . 3 . 3 . 121 . karaRe GaY tato,,
SKD,20851,pavanaṃ,pavanaM,śabda,Sabda,BAve,action / abstract (bhāve),lyuṭ,lyuw,.. prayate tri . iti SabdaratnAvalI . (BAve lyuw .) p,,
SKD,29897,rogaḥ,rogaH,pada,pada,kartari,agent (kartari),ghañ,GaY,- rujaviSaspfSo GaY .” 3 . 3 . 16 . iti karttari GaY .) k,,
SKD,6984,kaṣaṇaḥ,kazaRaH,jāta,jAta,BAve,action / abstract (bhāve),lyuṭ,lyuw,Ki ! kazaRaviSudvasya jAta- rUpasya” .. BAve lyuw . kl,,
VCP,11665,kadana,kadana,kada,kada,karaRe,instrument (karaṇe),lyuṭ,lyuw,kadana¦ na0 kada--Ric--GawAdi0 karaRe lyuw . 1,,
VCP,12311,karṇi,karRi,karṇa,karRa,BAve,action / abstract (bhāve),in,in,. 1 karRAkAraPalake SaraBede Sabdaci0 . BAve in . 2,,
VCP,12691,kaṣaṇa,kazaRa,kaṣa,kaza,BAve,action / abstract (bhāve),lyuṭ,lyuw,rmaRi lyuw . 1 apakve SalAwO Sabdaca0 . BAve lyuw . 2,,
VCP,13161,kāraṇa,kAraRa,kṛ,kf,BAve,action / abstract (bhāve),lyuṭ,lyuw,3 dehe 4 indriye . kf--baDe svArTe Ric--BAve lyuw . 5,,
VCP,15592,krudh,kruD,krudha,kruDa,BAve,action / abstract (bhāve),kvip,kvip,kruD¦ strI kruDa--sampa0 BAve kvip . ko,,
VCP,18779,ghātana,GAtana,hana,hana,BAve,action / abstract (bhāve),lyuṭ,lyuw,na¦ na0 hana--hantyarTatvAt svArTe Ric--BAve lyuw . 1,,
VCP,19523,calana,calana,cala,cala,kartari,agent (kartari),lyu,lyu,0 cala--BAve lyuw . 1 kampe 2 gatO ca . karttari lyu . 3,,
VCP,19713,cikura,cikura,ci,ci,karmaRi,object (karmaṇi),kta,kta,asta keSasamUhe pu0 . cikura + kftO Ric karmmaRi kta . ci,,
VCP,20582,janāśanai,janASanE,aśa,aSa,BAve,action / abstract (bhāve),lyuṭ,lyuw,u . 1 vfke rAjani0 . 2lokaBojini tri0 . BAve lyuw 6 ta,,
VCP,20628,janya,janya,jana,jana,karmaRi,object (karmaṇi),yat,yat,karttari yat . 1 jAyamAne . jana--Ric--karmmaRi yat . 2,,
VCP,20665,jambha,jamBa,jama,jama,karaRe,instrument (karaṇe),ghañ,GaY,amBa¦ pu0 jama--ac--num . 1 dEtyaBede . karaRe GaY . 2,,
VCP,22360,talatrāṇa,talatrARa,trai,trE,karaRe,instrument (karaṇe),lyuṭ,lyuw,a¦ na0 talaM karatalaM trAyate trE--lyu karaRe lyuw vA .,,
VCP,23510,trapā,trapA,trapa,trapa,kartari,agent (kartari),ac,ac,rI trapa--BAve aN . 1 lajjAyAm amaraH . karttari ac . 2,,
VCP,27493,dhṛta,Dfta,dhṛ,Df,BAve,action / abstract (bhāve),kta,kta,Dfta¦ na0 Df--sTitO patane ca BAve kta . 1,,
VCP,27535,dheya,Deya,dhe,De,BAve,action / abstract (bhāve),yat,yat,tvAt taTAtvam . De--yat . 3 peye tri0 . BAve yat . 4,,
VCP,2928,apunarbhava,apunarBava,bhū,BU,karaRe,instrument (karaṇe),ap,ap,aM Bajate'smin BU--ADAre ap . 1 mokze . karaRe ap na0,,
VCP,31048,pariṣūti,parizUti,mū,mU,kartari,agent (kartari),ktic,ktic,i + mU--preraRe BAve ktin . 1 preraRe . karttari ktic . 2,,
VCP,33957,pratyavasthā,pratyavasTA,sthā,sTA,BAve,action / abstract (bhāve),lyuṭ,lyuw,--BAve aN . 1 pratipakzatayA avasTAne . BAve lyuw . pr,,
VCP,34082,prapatana,prapatana,pata,pata,BAve,action / abstract (bhāve),lyuṭ,lyuw,apAdAne lyuw . 1 patanApAdAne vfkzAdO . BAve lyuw . pr,,
VCP,34152,prabheda,praBeda,bhida,Bida,BAve,action / abstract (bhāve),ghañ,GaY,na pra + Bida--GaY . 1 prakAre viSeze . BAve GaY . 2,,
VCP,39836,rodhana,roDana,rudha,ruDa,BAve,action / abstract (bhāve),lyuṭ,lyuw,i0 ruRadDi ruDa--lyu . 1 roDakarttari . BAve lyuw . 2,,
VCP,43081,śayyā,SayyA,śī,SI,BAve,action / abstract (bhāve),kyap,kyap,rI SI--ADAre kyaz . 1 KawvAyAm amaraH . BAve kyap . 2,,
VCP,46875,secana,secana,sica,sica,karaRe,instrument (karaṇe),lyuṭ,lyuw,uw . 1 jalAdinA ArdrIkaraRe 2 kzaraRe . karaRe lyuw . 3,,
VCP,5838,asahana,asahana,saha,saha,BAve,action / abstract (bhāve),lyuṭ,lyuw,0 ta0 . 1 SatrO . 2 kzamA- Sunye tri0 . BAve lyuw aBAv,,
VCP,6842,ādharṣya,ADarzya,ṛṣa,fza,BAve,action / abstract (bhāve),yat,yat,amAnanIye 2 balAt pIqanIye 3 durbale ca BAve yat . 4,,
