variant_slp1	variant_iast	canonical_slp1	canonical_iast
Apa	āpa	Ap	āp
Asa	āsa	As	ās
BAma	bhāma	BAm	bhām
BAsa	bhāsa	BAs	bhās
BAza	bhāṣa	BAz	bhāṣ
BUza	bhūṣa	BUz	bhūṣ
BaRa	bhaṇa	BaR	bhaṇ
BaYja	bhañja	BaYj	bhañj
Baja	bhaja	Baj	bhaj
Bakza	bhakṣa	Bakz	bhakṣ
Bala	bhala	Bal	bhal
Balla	bhalla	Ball	bhall
Baza	bhaṣa	Baz	bhaṣ
BfSa	bhṛśa	BfS	bhṛś
Bida	bhida	Bid	bhid
Brama	bhrama	Bram	bhram
Buja	bhuja	Buj	bhuj
Cada	chada	Cad	chad
Cala	chala	Cal	chal
Canda	chanda	Cand	chand
Cida	chida	Cid	chid
Cupa	chupa	Cup	chup
Cura	chura	Cur	chur
DAva	dhāva	DAv	dhāv
DUpa	dhūpa	DUp	dhūp
Dama	dhama	Dam	dham
Dana	dhana	Dan	dhan
Dfza	dhṛṣa	Dfz	dhṛṣ
Dora	dhora	Dor	dhor
DrANkza	dhrāṅkṣa	DrANkz	dhrāṅkṣ
Durva	dhurva	Durv	dhurv
DvaMsa	dhvaṃsa	DvaMs	dhvaṃs
Dvaja	dhvaja	Dvaj	dhvaj
Dvana	dhvana	Dvan	dhvan
Fza	ṝṣa	fz	ṛṣ
GF	ghṝ	Gf	ghṛ
GUrRa	ghūrṇa	GUrR	ghūrṇ
Gasa	ghasa	Gas	ghas
Gawa	ghaṭa	Gaw	ghaṭ
Gawwa	ghaṭṭa	Gaww	ghaṭṭ
Gfza	ghṛṣa	Gfz	ghṛṣ
GuRa	ghuṇa	GuR	ghuṇ
Guza	ghuṣa	Guz	ghuṣ
ISa	īśa	IS	īś
Iha	īha	Ih	īh
Ija	īja	Ij	īj
Ikza	īkṣa	Ikz	īkṣ
Ira	īra	Ir	īr
Iza	īṣa	Iz	īṣ
Jama	jhama	Jam	jham
KAda	khāda	KAd	khād
Kada	khada	Kad	khad
Kaja	khaja	Kaj	khaj
Kala	khala	Kal	khal
Kana	khana	Kan	khan
Kaqa	khaḍa	Kaq	khaḍ
Karva	kharva	Karv	kharv
Kawa	khaṭa	Kaw	khaṭ
Kela	khela	Kel	khel
Kewa	kheṭa	Kew	kheṭ
Kida	khida	Kid	khid
Kiwa	khiṭa	Kiw	khiṭ
Kora	khora	Kor	khor
Kura	khura	Kur	khur
PaRa	phaṇa	PaR	phaṇ
Pala	phala	Pal	phal
Pulla	phulla	Pull	phull
QOka	ḍhauka	QOk	ḍhauk
SAla	śāla	SAl	śāl
SAsa	śāsa	SAs	śās
SIla	śīla	SIl	śīl
SUla	śūla	SUl	śūl
SUra	śūra	SUr	śūr
SUrpa	śūrpa	SUrp	śūrp
SUza	śūṣa	SUz	śūṣ
SaRa	śaṇa	SaR	śaṇ
SaSa	śaśa	SaS	śaś
SaWa	śaṭha	SaW	śaṭh
Sabda	śabda	Sabd	śabd
Sada	śada	Sad	śad
Saka	śaka	Sak	śak
Sama	śama	Sam	śam
Samba	śamba	Samb	śamb
Sapa	śapa	Sap	śap
Sarva	śarva	Sarv	śarv
Sasa	śasa	Sas	śas
Sava	śava	Sav	śav
Sawa	śaṭa	Saw	śaṭ
Siza	śiṣa	Siz	śiṣ
SlaTa	ślatha	SlaT	ślath
Sliza	śliṣa	Sliz	śliṣ
Sloka	śloka	Slok	ślok
SoRa	śoṇa	SoR	śoṇ
Srama	śrama	Sram	śram
SuBa	śubha	SuB	śubh
SuDa	śudha	SuD	śudh
Suca	śuca	Suc	śuc
Suka	śuka	Suk	śuk
Sulba	śulba	Sulb	śulb
Sulka	śulka	Sulk	śulk
Suza	śuṣa	Suz	śuṣ
SvaBra	śvabhra	SvaBr	śvabhr
Svala	śvala	Sval	śval
Svasa	śvasa	Svas	śvas
Tuqa	thuḍa	Tuq	thuḍ
Uha	ūha	Uh	ūh
Urja	ūrja	Urj	ūrj
Uza	ūṣa	Uz	ūṣ
aBra	abhra	aBr	abhr
aGa	agha	aG	agh
aMSa	aṃśa	aMS	aṃś
aMsa	aṃsa	aMs	aṃs
aNga	aṅga	aNg	aṅg
aNka	aṅka	aNk	aṅk
aRa	aṇa	aR	aṇ
aSa	aśa	aS	aś
aYca	añca	aYc	añc
aYja	añja	aYj	añj
aca	aca	ac	ac
ada	ada	ad	ad
aha	aha	ah	ah
aja	aja	aj	aj
akza	akṣa	akz	akṣ
ala	ala	al	al
ama	ama	am	am
amba	amba	amb	amb
anDa	andha	anD	andh
ana	ana	an	an
anta	anta	ant	ant
aqqa	aḍḍa	aqq	aḍḍ
arGa	argha	arG	argh
arTa	artha	arT	arth
arca	arca	arc	arc
arda	arda	ard	ard
arha	arha	arh	arh
arka	arka	ark	ark
arva	arva	arv	arv
asa	asa	as	as
ata	ata	at	at
ava	ava	av	av
awa	aṭa	aw	aṭ
awwa	aṭṭa	aww	aṭṭ
aya	aya	ay	ay
bADa	bādha	bAD	bādh
baDa	badha	baD	badh
bada	bada	bad	bad
bala	bala	bal	bal
banDa	bandha	banD	bandh
barha	barha	barh	barh
bida	bida	bid	bid
bila	bila	bil	bil
bisa	bisa	bis	bis
buDa	budha	buD	budh
bula	bula	bul	bul
busa	busa	bus	bus
cAya	cāya	cAy	cāy
cUrRa	cūrṇa	cUrR	cūrṇ
cUza	cūṣa	cUz	cūṣ
caRa	caṇa	caR	caṇ
caka	caka	cak	cak
cakza	cakṣa	cakz	cakṣ
cala	cala	cal	cal
cama	cama	cam	cam
cara	cara	car	car
carca	carca	carc	carc
carva	carva	carv	carv
caya	caya	cay	cay
cela	cela	cel	cel
cezwa	ceṣṭa	cezw	ceṣṭ
cfta	cṛta	cft	cṛt
cinta	cinta	cint	cint
cita	cita	cit	cit
cuda	cuda	cud	cud
cukka	cukka	cukk	cukk
cula	cula	cul	cul
culumpa	culumpa	culump	culump
cupa	cupa	cup	cup
dASa	dāśa	dAS	dāś
dAna	dāna	dAn	dān
dAsa	dāsa	dAs	dās
dAya	dāya	dAy	dāy
dIkza	dīkṣa	dIkz	dīkṣ
dIpa	dīpa	dIp	dīp
daMSa	daṃśa	daMS	daṃś
dada	dada	dad	dad
daha	daha	dah	dah
dakza	dakṣa	dakz	dakṣ
dala	dala	dal	dal
damBa	dambha	damB	dambh
dama	dama	dam	dam
daya	daya	day	day
deva	deva	dev	dev
dfBa	dṛbha	dfB	dṛbh
dfSa	dṛśa	dfS	dṛś
dfpa	dṛpa	dfp	dṛp
diSa	diśa	diS	diś
diha	diha	dih	dih
diva	diva	div	div
druha	druha	druh	druh
duha	duha	duh	duh
dula	dula	dul	dul
dviza	dviṣa	dviz	dviṣ
dyuta	dyuta	dyut	dyut
eDa	edha	eD	edh
eza	eṣa	ez	eṣ
fDa	ṛdha	fD	ṛdh
fRa	ṛṇa	fR	ṛṇ
fja	ṛja	fj	ṛj
fta	ṛta	ft	ṛt
fza	ṛṣa	fz	ṛṣ
gAha	gāha	gAh	gāh
gaRa	gaṇa	gaR	gaṇ
gada	gada	gad	gad
gaha	gaha	gah	gah
gaja	gaja	gaj	gaj
galBa	galbha	galB	galbh
gala	gala	gal	gal
gama	gama	gam	gam
ganDa	gandha	ganD	gandh
garha	garha	garh	garh
garja	garja	garj	garj
garva	garva	garv	garv
gaveza	gaveṣa	gavez	gaveṣ
graha	graha	grah	grah
guDa	gudha	guD	gudh
guYja	guñja	guYj	guñj
guda	guda	gud	gud
guha	guha	guh	guh
gumPa	gumpha	gumP	gumph
gupa	gupa	gup	gup
guqa	guḍa	guq	guḍ
gura	gura	gur	gur
hala	hala	hal	hal
hana	hana	han	han
hasa	hasa	has	has
haya	haya	hay	hay
heWa	heṭha	heW	heṭh
hela	hela	hel	hel
heqa	heḍa	heq	heḍ
hfza	hṛṣa	hfz	hṛṣ
hikka	hikka	hikk	hikk
hoqa	hoḍa	hoq	hoḍ
hrAda	hrāda	hrAd	hrād
iKa	ikha	iK	ikh
ila	ila	il	il
inDa	indha	inD	indh
ina	ina	in	in
iza	iṣa	iz	iṣ
jIva	jīva	jIv	jīv
jUza	jūṣa	jUz	jūṣ
jaBa	jabha	jaB	jabh
jakza	jakṣa	jakz	jakṣ
jala	jala	jal	jal
jalpa	jalpa	jalp	jalp
jama	jama	jam	jam
jana	jana	jan	jan
japa	japa	jap	jap
jfmBa	jṛmbha	jfmB	jṛmbh
jima	jima	jim	jim
juza	juṣa	juz	juṣ
jvala	jvala	jval	jval
jvara	jvara	jvar	jvar
kANkza	kāṅkṣa	kANkz	kāṅkṣ
kASa	kāśa	kAS	kāś
kAsa	kāsa	kAs	kās
kIla	kīla	kIl	kīl
kIwa	kīṭa	kIw	kīṭ
kUja	kūja	kUj	kūj
kUla	kūla	kUl	kūl
kUpa	kūpa	kUp	kūp
kUwa	kūṭa	kUw	kūṭ
kaRa	kaṇa	kaR	kaṇ
kaSa	kaśa	kaS	kaś
kaTa	katha	kaT	kath
kaWa	kaṭha	kaW	kaṭh
kaca	kaca	kac	kac
kada	kada	kad	kad
kala	kala	kal	kal
kalla	kalla	kall	kall
kama	kama	kam	kam
kamba	kamba	kamb	kamb
kampa	kampa	kamp	kamp
kana	kana	kan	kan
kaqa	kaḍa	kaq	kaḍ
karRa	karṇa	karR	karṇ
karka	karka	kark	kark
karta	karta	kart	kart
katTa	kattha	katT	katth
kava	kava	kav	kav
kawa	kaṭa	kaw	kaṭ
kaza	kaṣa	kaz	kaṣ
kfSa	kṛśa	kfS	kṛś
kfpa	kṛpa	kfp	kṛp
kfqa	kṛḍa	kfq	kṛḍ
kfta	kṛta	kft	kṛt
kfza	kṛṣa	kfz	kṛṣ
kila	kila	kil	kil
kita	kita	kit	kit
kiwa	kiṭa	kiw	kiṭ
klIba	klība	klIb	klīb
klIva	klīva	klIv	klīv
klama	klama	klam	klam
kleSa	kleśa	kleS	kleś
kliSa	kliśa	kliS	kliś
klida	klida	klid	klid
krIqa	krīḍa	krIq	krīḍ
kraTa	kratha	kraT	krath
krama	krama	kram	kram
kranda	kranda	krand	krand
kruDa	krudha	kruD	krudh
kruSa	kruśa	kruS	kruś
kuRWa	kuṇṭha	kuRW	kuṇṭh
kuRa	kuṇa	kuR	kuṇ
kuSa	kuśa	kuS	kuś
kuTa	kutha	kuT	kuth
kuca	kuca	kuc	kuc
kuha	kuha	kuh	kuh
kuja	kuja	kuj	kuj
kula	kula	kul	kul
kupa	kupa	kup	kup
kura	kura	kur	kur
kutsa	kutsa	kuts	kuts
kuwa	kuṭa	kuw	kuṭ
kuwwa	kuṭṭa	kuww	kuṭṭ
kvaRa	kvaṇa	kvaR	kvaṇ
kvaTa	kvatha	kvaT	kvath
kzIja	kṣīja	kzIj	kṣīj
kzaRa	kṣaṇa	kzaR	kṣaṇ
kzala	kṣala	kzal	kṣal
kzama	kṣama	kzam	kṣam
kzapa	kṣapa	kzap	kṣap
kzara	kṣara	kzar	kṣar
kzipa	kṣipa	kzip	kṣip
kzuBa	kṣubha	kzuB	kṣubh
kzuDa	kṣudha	kzuD	kṣudh
kzupa	kṣupa	kzup	kṣup
kzura	kṣura	kzur	kṣur
kzviqa	kṣviḍa	kzviq	kṣviḍ
lABa	lābha	lAB	lābh
laBa	labha	laB	labh
laga	laga	lag	lag
laja	laja	laj	laj
lakza	lakṣa	lakz	lakṣ
lala	lala	lal	lal
lamBa	lambha	lamB	lambh
lamba	lamba	lamb	lamb
lapa	lapa	lap	lap
laqa	laḍa	laq	laḍ
lasa	lasa	las	las
laza	laṣa	laz	laṣ
lepa	lepa	lep	lep
liKa	likha	liK	likh
liha	liha	lih	lih
lipa	lipa	lip	lip
loca	loca	loc	loc
loka	loka	lok	lok
lozwa	loṣṭa	lozw	loṣṭ
lupa	lupa	lup	lup
mAna	māna	mAn	mān
mArga	mārga	mArg	mārg
mIla	mīla	mIl	mīl
mUla	mūla	mUl	mūl
maKa	makha	maK	makh
maRa	maṇa	maR	maṇ
maTa	matha	maT	math
maWa	maṭha	maW	maṭh
mada	mada	mad	mad
maha	maha	mah	mah
makza	makṣa	makz	makṣ
mala	mala	mal	mal
malla	malla	mall	mall
manTa	mantha	manT	manth
mana	mana	man	man
mantra	mantra	mantr	mantr
mava	mava	mav	mav
maza	maṣa	maz	maṣ
meDa	medha	meD	medh
mfSa	mṛśa	mfS	mṛś
mfda	mṛda	mfd	mṛd
mfga	mṛga	mfg	mṛg
mfja	mṛja	mfj	mṛj
mfqa	mṛḍa	mfq	mṛḍ
mfza	mṛṣa	mfz	mṛṣ
miSa	miśa	miS	miś
miSra	miśra	miSr	miśr
miha	miha	mih	mih
mila	mila	mil	mil
miza	miṣa	miz	miṣ
mokza	mokṣa	mokz	mokṣ
mrakza	mrakṣa	mrakz	mrakṣ
muca	muca	muc	muc
muda	muda	mud	mud
muha	muha	muh	muh
mura	mura	mur	mur
muza	muṣa	muz	muṣ
nATa	nātha	nAT	nāth
nAsa	nāsa	nAs	nās
naBa	nabha	naB	nabh
naKa	nakha	naK	nakh
naSa	naśa	naS	naś
nada	nada	nad	nad
naha	naha	nah	nah
nakza	nakṣa	nakz	nakṣ
nala	nala	nal	nal
nama	nama	nam	nam
nanda	nanda	nand	nand
naqa	naḍa	naq	naḍ
narda	narda	nard	nard
nawa	naṭa	naw	naṭ
naya	naya	nay	nay
nfta	nṛta	nft	nṛt
nija	nija	nij	nij
niza	niṣa	niz	niṣ
nizka	niṣka	nizk	niṣk
nuda	nuda	nud	nud
pAla	pāla	pAl	pāl
pIqa	pīḍa	pIq	pīḍ
pIya	pīya	pIy	pīy
pUja	pūja	pUj	pūj
paRa	paṇa	paR	paṇ
paSa	paśa	paS	paś
paWa	paṭha	paW	paṭh
paca	paca	pac	pac
pada	pada	pad	pad
pakza	pakṣa	pakz	pakṣ
pala	pala	pal	pal
parRa	parṇa	parR	parṇ
parpa	parpa	parp	parp
pasa	pasa	pas	pas
pata	pata	pat	pat
pawa	paṭa	paw	paṭ
pfRa	pṛṇa	pfR	pṛṇ
pfca	pṛca	pfc	pṛc
pfja	pṛja	pfj	pṛj
pfza	pṛṣa	pfz	pṛṣ
piwa	piṭa	piw	piṭ
piza	piṣa	piz	piṣ
plakza	plakṣa	plakz	plakṣ
praTa	pratha	praT	prath
proTa	protha	proT	proth
puMsa	puṃsa	puMs	puṃs
puRa	puṇa	puR	puṇ
pula	pula	pul	pul
pura	pura	pur	pur
pusta	pusta	pust	pust
puwa	puṭa	puw	puṭ
puwwa	puṭṭa	puww	puṭṭ
puza	puṣa	puz	puṣ
pyAya	pyāya	pyAy	pyāy
rADa	rādha	rAD	rādh
rAja	rāja	rAj	rāj
rAsa	rāsa	rAs	rās
rUkza	rūkṣa	rUkz	rūkṣ
rUpa	rūpa	rUp	rūp
raBa	rabha	raB	rabh
raDa	radha	raD	radh
raNga	raṅga	raNg	raṅg
raRa	raṇa	raR	raṇ
raYja	rañja	raYj	rañj
raca	raca	rac	rac
rada	rada	rad	rad
rakza	rakṣa	rakz	rakṣ
rama	rama	ram	ram
rasa	rasa	ras	ras
rawa	raṭa	raw	raṭ
rewa	reṭa	rew	reṭ
rica	rica	ric	ric
ruDa	rudha	ruD	rudh
ruca	ruca	ruc	ruc
ruda	ruda	rud	rud
ruha	ruha	ruh	ruh
ruja	ruja	ruj	ruj
sADa	sādha	sAD	sādh
sAmba	sāmba	sAmb	sāmb
sAntva	sāntva	sAntv	sāntv
sKala	skhala	sKal	skhal
sPAya	sphāya	sPAy	sphāy
sPula	sphula	sPul	sphul
sPura	sphura	sPur	sphur
sPuwa	sphuṭa	sPuw	sphuṭ
sTUla	sthūla	sTUl	sthūl
sTala	sthala	sTal	sthal
sUca	sūca	sUc	sūc
sUda	sūda	sUd	sūd
sUtra	sūtra	sUtr	sūtr
saBAja	sabhāja	saBAj	sabhāj
sada	sada	sad	sad
saha	saha	sah	sah
sala	sala	sal	sal
sana	sana	san	san
sapa	sapa	sap	sap
seka	seka	sek	sek
seva	seva	sev	sev
sfja	sṛja	sfj	sṛj
sfpa	sṛpa	sfp	sṛp
siDa	sidha	siD	sidh
sica	sica	sic	sic
siva	siva	siv	siv
skamBa	skambha	skamB	skambh
skanda	skanda	skand	skand
spanda	spanda	spand	spand
sparSa	sparśa	sparS	sparś
spfSa	spṛśa	spfS	spṛś
stF	stṝ	stf	stṛ
stUpa	stūpa	stUp	stūp
stamBa	stambha	stamB	stambh
stana	stana	stan	stan
stena	stena	sten	sten
stima	stima	stim	stim
stoma	stoma	stom	stom
suKa	sukha	suK	sukh
sura	sura	sur	sur
svada	svada	svad	svad
svana	svana	svan	svan
svapa	svapa	svap	svap
svara	svara	svar	svar
svida	svida	svid	svid
syanda	syanda	syand	syand
tAya	tāya	tAy	tāy
tURa	tūṇa	tUR	tūṇ
tUla	tūla	tUl	tūl
takza	takṣa	takz	takṣ
tala	tala	tal	tal
tama	tama	tam	tam
tana	tana	tan	tan
tapa	tapa	tap	tap
taqa	taḍa	taq	taḍ
tarja	tarja	tarj	tarj
tarka	tarka	tark	tark
tawa	taṭa	taw	taṭ
tfRa	tṛṇa	tfR	tṛṇ
tfkza	tṛkṣa	tfkz	tṛkṣ
tfpa	tṛpa	tfp	tṛp
tfza	tṛṣa	tfz	tṛṣ
tija	tija	tij	tij
tika	tika	tik	tik
tila	tila	til	til
tima	tima	tim	tim
trapa	trapa	trap	trap
trasa	trasa	tras	tras
tuSa	tuśa	tuS	tuś
tuda	tuda	tud	tud
tula	tula	tul	tul
tuqa	tuḍa	tuq	tuḍ
tura	tura	tur	tur
tuza	tuṣa	tuz	tuṣ
tvaca	tvaca	tvac	tvac
tvakza	tvakṣa	tvakz	tvakṣ
tvara	tvara	tvar	tvar
tviza	tviṣa	tviz	tviṣ
tyaja	tyaja	tyaj	tyaj
uBa	ubha	uB	ubh
uKa	ukha	uK	ukh
ubja	ubja	ubj	ubj
uca	uca	uc	uc
ujJa	ujjha	ujJ	ujjh
ukza	ukṣa	ukz	ukṣ
ula	ula	ul	ul
urva	urva	urv	urv
uza	uṣa	uz	uṣ
vASa	vāśa	vAS	vāś
vAha	vāha	vAh	vāh
vAsa	vāsa	vAs	vās
vAta	vāta	vAt	vāt
vIja	vīja	vIj	vīj
vIra	vīra	vIr	vīr
vaDa	vadha	vaD	vadh
vaRa	vaṇa	vaR	vaṇ
vaSa	vaśa	vaS	vaś
vaYca	vañca	vaYc	vañc
vaca	vaca	vac	vac
vada	vada	vad	vad
vaha	vaha	vah	vah
vala	vala	val	val
valga	valga	valg	valg
valka	valka	valk	valk
valla	valla	vall	vall
vama	vama	vam	vam
vana	vana	van	van
vanda	vanda	vand	vand
vapa	vapa	vap	vap
varRa	varṇa	varR	varṇ
vasa	vasa	vas	vas
vasta	vasta	vast	vast
vawa	vaṭa	vaw	vaṭ
vela	vela	vel	vel
vella	vella	vell	vell
vepa	vepa	vep	vep
vezwa	veṣṭa	vezw	veṣṭ
vfDa	vṛdha	vfD	vṛdh
vfSa	vṛśa	vfS	vṛś
vfha	vṛha	vfh	vṛh
vfka	vṛka	vfk	vṛk
vfkza	vṛkṣa	vfkz	vṛkṣ
vfta	vṛta	vft	vṛt
vfza	vṛṣa	vfz	vṛṣ
viDa	vidha	viD	vidh
viSa	viśa	viS	viś
vida	vida	vid	vid
vija	vija	vij	vij
vitta	vitta	vitt	vitt
viwa	viṭa	viw	viṭ
viza	viṣa	viz	viṣ
vrIqa	vrīḍa	vrIq	vrīḍ
vraRa	vraṇa	vraR	vraṇ
vraja	vraja	vraj	vraj
vyaTa	vyatha	vyaT	vyath
vyaya	vyaya	vyay	vyay
wIka	ṭīka	wIk	ṭīk
wala	ṭala	wal	ṭal
wipa	ṭipa	wip	ṭip
yAca	yāca	yAc	yāc
yUza	yūṣa	yUz	yūṣ
yaja	yaja	yaj	yaj
yakza	yakṣa	yakz	yakṣ
yama	yama	yam	yam
yasa	yasa	yas	yas
yata	yata	yat	yat
yuDa	yudha	yuD	yudh
yuja	yuja	yuj	yuj
yuta	yuta	yut	yut
zWiva	ṣṭhiva	zWiv	ṣṭhiv
